Image,Group,Condition,SubID,Threshold,SegAbbr,Grouping,Domain,SegVol,Mean,Median,StDev,Q1,Q3,Min,Max,ActVol,FAV,CoGx,CoGy,CoGz,sCoGx,sCoGy,sCoGz
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MOBmi,a_Olfactory_D,OLF,1090.0,2.79,2.6,0.86,2.21,3.1,1.89,6.27,41,0.038,60.97,26.88,47.92,55.0,27.83,44.72
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,Gr,p_Pons_G,HB,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,59.13,36.82,49.08,0.0,0.0,0.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MS,e_Striatum/pallidum_I,STR/PAL,222.0,2.54,2.17,0.87,1.95,2.84,1.83,5.26,17,0.077,61.15,61.59,30.54,61.38,59.6,29.34
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,LSc,e_Striatum/pallidum_E,STR/PAL,293.0,2.43,2.28,0.54,2.07,2.56,1.85,4.16,24,0.082,61.53,61.21,40.87,63.19,60.32,40.12
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,LSr,e_Striatum/pallidum_F,STR/PAL,1873.0,2.35,2.22,0.54,2.02,2.49,1.82,5.15,73,0.039,61.06,60.49,33.58,59.34,60.12,34.51
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PIR,b_CerebralCortex_I,CTX,10350.0,2.42,2.24,0.55,2.03,2.69,1.81,5.08,373,0.036,61.88,72.47,20.36,64.99,68.7,21.87
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,NDB,e_Striatum/pallidum_J,STR/PAL,636.0,2.4,2.37,0.44,2.07,2.62,1.82,3.68,58,0.091,60.89,58.53,21.16,61.33,59.09,21.75
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,EPd,a_Olfactory_J,OLF,915.0,2.47,2.23,0.67,2.0,2.63,1.83,4.7,40,0.044,58.32,52.65,32.04,55.29,52.78,32.18
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MPO,i_Hypothalamus_B,HYP,1385.0,2.46,2.3,0.52,2.05,2.89,1.83,3.5,42,0.03,61.13,69.31,18.37,65.62,69.97,16.61
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,RE,h_Thalamus_P,THA,470.0,2.3,2.14,0.4,2.04,2.58,1.82,2.98,11,0.023,61.05,83.18,26.23,64.11,84.2,26.1
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PO,h_Thalamus_S,THA,1228.0,2.41,2.36,0.39,2.09,2.68,1.81,3.28,32,0.026,61.76,90.05,38.63,64.36,89.4,37.93
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,em,ww_fiber_bundle_D,WM,215.0,2.3,2.27,0.19,2.18,2.41,2.08,2.56,3,0.014,66.05,93.13,41.42,83.89,91.58,41.9
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,opt,o_optic_B,WM,1550.0,2.31,2.21,0.4,2.02,2.47,1.82,3.59,48,0.031,62.69,94.17,41.01,52.73,92.76,40.76
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,BLA,d_Amygdala_E,AMY,3279.0,2.51,2.35,0.77,2.04,2.68,1.82,7.16,96,0.029,62.31,86.03,18.99,49.1,86.47,20.56
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,LA,d_Amygdala_D,AMY,1238.0,2.48,2.29,0.6,1.99,2.77,1.82,4.43,80,0.065,60.66,89.62,27.32,40.17,91.8,26.13
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MD,h_Thalamus_N,THA,751.0,2.54,2.65,0.28,2.4,2.73,2.15,2.81,3,0.004,61.12,87.05,36.64,66.0,90.0,37.07
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,IAM,h_Thalamus_K,THA,474.0,2.24,2.11,0.41,1.9,2.53,1.84,3.17,17,0.036,61.1,82.05,40.45,66.43,81.55,40.87
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,sm,ww_fiber_bundle_J,WM,304.0,2.77,2.51,0.81,2.17,3.04,1.81,5.46,31,0.102,61.84,79.01,43.42,66.42,81.14,45.41
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,VAL,h_Thalamus_A,THA,414.0,2.09,2.09,0.26,1.96,2.22,1.83,2.35,2,0.005,60.88,81.56,37.93,74.56,85.0,42.56
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,VM,h_Thalamus_B,THA,1034.0,2.67,2.66,0.56,2.17,3.03,1.82,3.8,30,0.029,60.22,84.53,31.18,57.62,82.76,29.06
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,AV,h_Thalamus_J,THA,180.0,2.45,2.44,0.39,2.11,2.69,1.93,3.22,13,0.072,60.86,79.51,44.52,61.02,79.27,44.81
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PVT,h_Thalamus_M,THA,1312.0,2.29,2.16,0.46,1.98,2.37,1.83,3.85,54,0.041,61.59,81.59,36.98,62.63,78.93,37.83
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PT,h_Thalamus_O,THA,293.0,2.13,2.13,0.0,2.13,2.13,2.13,2.13,1,0.003,61.14,81.61,33.88,58.0,80.0,35.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,SPA,h_Thalamus_E,THA,224.0,2.38,2.38,0.0,2.38,2.38,2.38,2.38,1,0.004,61.55,90.46,31.51,56.0,90.0,30.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,IMD,h_Thalamus_L,THA,83.0,2.17,2.17,0.0,2.17,2.17,2.17,2.17,1,0.012,60.86,85.96,34.23,65.0,91.0,36.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,CM,h_Thalamus_R,THA,164.0,1.89,1.89,0.08,1.85,1.93,1.81,1.97,2,0.012,61.45,80.51,30.54,64.0,77.96,35.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MH,h_Thalamus_U,THA,204.0,2.23,2.17,0.39,1.96,2.34,1.82,3.34,12,0.059,61.25,87.96,45.93,68.1,88.06,46.52
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PF,h_Thalamus_T,THA,573.0,2.28,2.15,0.35,2.0,2.54,1.84,2.98,11,0.019,60.89,91.72,40.25,59.92,92.41,39.57
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,CEA,d_Amygdala_C,AMY,1604.0,2.54,2.44,0.58,2.03,2.95,1.83,4.29,72,0.045,60.2,81.12,23.99,57.9,81.62,23.86
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,AAA,d_Amygdala_A,AMY,674.0,2.5,2.44,0.47,2.17,2.73,1.86,3.73,21,0.031,58.11,73.19,15.57,51.3,71.66,16.72
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MEA,d_Amygdala_B,AMY,1204.0,2.44,2.36,0.47,2.07,2.73,1.84,3.67,51,0.042,63.08,83.64,18.0,66.12,83.21,17.25
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PAG,j_Midbrain_J,MB,4068.0,2.48,2.37,0.56,2.0,2.76,1.81,4.45,144,0.035,62.9,108.6,45.75,64.55,108.69,46.19
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,DR,j_Midbrain_I,MB,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,63.2,114.72,39.84,0.0,0.0,0.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,CLI,j_Midbrain_G,MB,183.0,2.61,2.4,0.97,2.04,2.51,1.91,5.11,8,0.044,62.4,104.83,33.57,62.85,109.14,35.82
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MBO,i_Hypothalamus_P,HYP,1280.0,2.36,2.32,0.37,2.07,2.55,1.82,3.42,59,0.046,61.54,94.11,18.77,58.93,92.21,17.53
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PCG,p_Pons_C,HB,763.0,2.69,2.54,1.06,2.1,2.85,1.82,8.6,47,0.062,63.6,122.23,33.58,64.77,122.6,31.9
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,SNr,j_Midbrain_E,MB,1166.0,2.57,2.42,0.67,1.99,2.9,1.82,4.23,31,0.027,60.77,100.27,27.47,74.34,99.4,26.54
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,LC,p_Pons_F,HB,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,63.98,123.25,36.02,0.0,0.0,0.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PB,p_Pons_E,HB,1048.0,2.31,2.22,0.48,1.95,2.51,1.82,3.94,46,0.044,63.14,119.25,35.81,52.73,120.75,38.38
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,DP,b_CerebralCortex_E,CTX,399.0,2.59,2.39,0.68,2.09,2.78,1.86,4.82,28,0.07,60.97,52.12,39.25,62.41,52.6,39.28
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,ILA,b_CerebralCortex_D,CTX,1263.0,2.21,2.08,0.27,2.04,2.32,1.85,2.87,16,0.013,61.36,51.85,45.65,63.32,51.11,47.03
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PL,b_CerebralCortex_C,CTX,1740.0,2.5,2.32,0.6,2.03,2.73,1.83,4.29,85,0.049,61.48,50.06,53.96,60.14,50.36,54.04
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,ORB,b_CerebralCortex_B,CTX,2118.0,2.43,2.23,0.71,1.98,2.65,1.82,6.05,78,0.037,61.02,48.14,46.04,65.87,47.27,44.84
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MO,b_CerebralCortex_G,CTX,16882.0,2.47,2.28,0.68,2.01,2.71,1.81,8.11,558,0.033,62.84,59.91,59.26,60.89,61.62,59.37
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,ACA,b_CerebralCortex_F,CTX,5145.0,2.44,2.24,0.61,2.01,2.68,1.81,4.8,147,0.029,61.9,64.53,58.59,60.62,65.3,57.73
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,SS,b_CerebralCortex_H,CTX,31033.0,2.45,2.29,0.6,2.0,2.71,1.81,5.91,1037,0.033,61.37,73.5,53.66,64.0,72.22,53.48
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,RSP,b_CerebralCortex_J,CTX,5887.0,2.42,2.24,0.64,1.99,2.57,1.82,5.92,186,0.032,62.78,96.86,65.72,66.03,97.03,65.97
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PTL,b_CerebralCortex_K,CTX,2897.0,2.61,2.39,0.81,2.07,2.91,1.83,6.77,131,0.045,65.37,93.66,65.82,60.56,94.22,65.68
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PVH,i_Hypothalamus_D,HYP,213.0,2.32,1.94,0.82,1.86,2.15,1.85,4.15,6,0.028,61.4,75.81,23.64,63.64,78.22,23.7
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,LHA,i_Hypothalamus_H,HYP,2596.0,2.56,2.3,0.81,2.06,2.79,1.83,6.57,89,0.034,61.71,82.74,20.45,61.1,83.14,19.97
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,AHN,i_Hypothalamus_F,HYP,490.0,2.37,2.2,0.46,2.05,2.53,1.88,3.63,25,0.051,60.9,77.14,18.48,55.59,78.72,19.61
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,VMH,i_Hypothalamus_K,HYP,410.0,2.14,2.12,0.08,2.07,2.19,2.07,2.26,4,0.01,61.0,82.08,15.24,53.76,84.75,14.74
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,DMH,i_Hypothalamus_L,HYP,430.0,2.12,2.12,0.3,1.97,2.27,1.82,2.42,2,0.005,61.43,84.1,18.82,63.86,84.85,18.01
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PH,i_Hypothalamus_N,HYP,660.0,2.2,2.08,0.46,1.96,2.26,1.81,3.86,16,0.024,61.77,90.07,23.64,60.11,90.03,23.1
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,STN,i_Hypothalamus_O,HYP,283.0,2.62,2.49,0.77,2.09,2.77,1.82,4.31,7,0.025,62.75,90.56,24.92,62.07,89.84,22.93
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,AVPV,i_Hypothalamus_C,HYP,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,60.74,68.08,15.9,0.0,0.0,0.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PVp,i_Hypothalamus_M,HYP,319.0,2.03,2.03,0.12,1.93,2.06,1.89,2.23,5,0.016,61.52,89.35,12.33,58.59,87.0,11.37
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,SBPV,i_Hypothalamus_G,HYP,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,61.33,76.43,17.78,0.0,0.0,0.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,SCH,i_Hypothalamus_E,HYP,116.0,2.26,2.3,0.22,2.18,2.38,1.84,2.59,7,0.06,61.58,73.54,13.37,61.49,72.0,13.47
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,ARH,i_Hypothalamus_J,HYP,166.0,2.64,2.24,0.78,1.97,3.24,1.84,3.98,7,0.042,61.32,83.25,11.77,58.87,85.08,11.09
